               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  11,            0.042473,            0.023145,           0.0036142,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0076783,           0.0076783,           0.0076783
                  12,            0.042046,            0.022852,           0.0031631,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0073001,           0.0073001,           0.0073001
                  13,            0.041058,            0.022948,           0.0031687,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0069219,           0.0069219,           0.0069219
                  14,            0.040775,            0.021982,           0.0030104,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0065438,           0.0065438,           0.0065438
                  15,            0.040142,            0.021949,           0.0029897,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0061656,           0.0061656,           0.0061656
                  16,            0.039245,            0.021906,           0.0028635,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0057874,           0.0057874,           0.0057874
                  17,            0.038793,            0.021401,           0.0027267,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0054092,           0.0054092,           0.0054092
                  18,            0.038603,            0.021237,           0.0028551,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0050311,           0.0050311,           0.0050311
                  19,            0.037701,            0.021286,           0.0024606,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0046529,           0.0046529,           0.0046529
                  20,            0.037389,             0.02192,           0.0024735,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0042747,           0.0042747,           0.0042747
                  21,            0.036821,            0.020942,           0.0024213,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0038966,           0.0038966,           0.0038966
                  22,            0.036878,            0.021242,           0.0022832,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0035184,           0.0035184,           0.0035184
                  23,             0.03618,            0.021123,           0.0022688,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0031402,           0.0031402,           0.0031402
                  24,            0.035768,            0.020736,           0.0021756,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.002762,            0.002762,            0.002762
                  25,            0.035368,            0.020339,           0.0020452,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0023839,           0.0023839,           0.0023839
                  26,            0.034932,            0.020766,           0.0020148,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0020057,           0.0020057,           0.0020057
                  27,            0.034343,            0.020119,           0.0018567,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0016275,           0.0016275,           0.0016275
                  28,             0.03423,            0.020205,           0.0019085,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0012493,           0.0012493,           0.0012493
                  29,            0.034398,            0.020642,           0.0019333,             0.91947,             0.62607,             0.69559,              0.4139,             0.03383,            0.018583,           0.0017772,          0.00087117,          0.00087117,          0.00087117
                   0,            0.099282,             0.02963,             0.03974,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0030898,           0.0030898,            0.073612
                   1,            0.077658,            0.025061,            0.021723,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0059787,           0.0059787,             0.04258
                   2,            0.071613,            0.021561,             0.01451,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0086635,           0.0086635,            0.011343
                   3,            0.062405,            0.021048,            0.010444,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0085775,           0.0085775,           0.0085775
                   4,            0.056394,            0.020522,           0.0075592,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0085775,           0.0085775,           0.0085775
                   5,            0.051624,            0.020205,           0.0061918,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0082634,           0.0082634,           0.0082634
                   6,            0.049803,             0.01921,           0.0058145,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0079492,           0.0079492,           0.0079492
                   7,            0.047212,            0.018638,           0.0050138,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0076351,           0.0076351,           0.0076351
                   8,            0.046197,            0.018518,           0.0049087,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0073209,           0.0073209,           0.0073209
                   9,            0.045052,            0.018004,           0.0040911,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0070068,           0.0070068,           0.0070068
                  10,            0.043733,            0.018208,           0.0042408,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0066926,           0.0066926,           0.0066926
                  11,            0.042817,            0.017844,           0.0039067,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0063785,           0.0063785,           0.0063785
                  12,            0.042234,            0.017632,           0.0032616,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0060643,           0.0060643,           0.0060643
                  13,            0.041661,             0.01763,           0.0034675,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0057502,           0.0057502,           0.0057502
                  14,            0.041107,            0.016871,           0.0032996,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.005436,            0.005436,            0.005436
                  15,            0.040295,            0.016771,           0.0033675,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0051218,           0.0051218,           0.0051218
                  16,            0.039774,            0.016769,            0.003344,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0048077,           0.0048077,           0.0048077
